ERAID|Title|Acronym|Rank|FoR1|FoR1 Name|FoR2|FoR2 Name|FoR3|FoR3 Name
42393|Annual Conference of the Cognitive Science Society|CogSci|A|0801|Artificial Intelligence and Image Processing||||
42396|Annual Conference of the International Speech Communication Association (was Eurospeech)|Interspeech|A|0801|Artificial Intelligence and Image Processing||||
42397|Annual Conference on Computational Learning Theory|COLT|A|0801|Artificial Intelligence and Image Processing||||
42398|Annual Conference on Evolutionary Programming|EP|C|0801|Artificial Intelligence and Image Processing||||
42405|Annual International Workshop on Presence|PRESENCE|B|0801|Artificial Intelligence and Image Processing||||
42417|Applications of Information Visualization|IV-App|C|0801|Artificial Intelligence and Image Processing||||
42420|Applied Perception in Graphics and Visualization|APGV|C|0801|Artificial Intelligence and Image Processing||||
42422|Argentine Symposium on Artificial Intelligence|ASAI|C|0801|Artificial Intelligence and Image Processing||||
42424|Artificial Intelligence in Knowledge Management|AIKM|C|0801|Artificial Intelligence and Image Processing||||
45025|Artificial Intelligence in Medicine|AIIM|A|0801|Artificial Intelligence and Image Processing||||
45026|Artificial Intelligence in Medicine in Europe|AIME|A|0801|Artificial Intelligence and Image Processing||||
42425|Artificial Neural Networks in Engineering Conference|ANNIE|B|0801|Artificial Intelligence and Image Processing||||
42441|Asian Conference on Computer Vision|ACCV|B|0801|Artificial Intelligence and Image Processing||||
42448|Asia-Pacific Conference on Complex Systems|Complex|C|0801|Artificial Intelligence and Image Processing||||
42453|Asia-Pacific Conference on Simulated Evolution and Learning|SEAL|B|0801|Artificial Intelligence and Image Processing||||
42459|Asia-Pacific Symposium on Visualisation|APVIS|C|0801|Artificial Intelligence and Image Processing||||
42469|Association of Computational Linguistics|ACL|A|0801|Artificial Intelligence and Image Processing||||
42476|Australasian Cognitive Science Society Conference|AuCSS|C|0801|Artificial Intelligence and Image Processing||||
42489|Australasian Conference on Robotics and Automation|ACRA|B|0801|Artificial Intelligence and Image Processing||||
42498|Australasian Joint Conference on Artificial Intelligence|AI|B|0801|Artificial Intelligence and Image Processing||||
42504|Australasian Speech Science and Technology|SST|B|0801|Artificial Intelligence and Image Processing||||
42515|Australia-Japan Joint Workshop on Intelligent and Evolutionary Systems|AJWIES|C|0801|Artificial Intelligence and Image Processing||||
42524|Australian Conference for Knowledge Management and Intelligent Decision Support|ACKMIDS|B|0801|Artificial Intelligence and Image Processing||||
42525|Australian Conference on Artificial Life|ACAL|B|0801|Artificial Intelligence and Image Processing||||
42527|Australian Conference on Neural Networks|ACNN|C|0801|Artificial Intelligence and Image Processing||||
42540|Australian Knowledge Acquisition Workshop|AKAW|C|0801|Artificial Intelligence and Image Processing||||
45032|Australian MADYMO Users Meeting|MADYMO|C|0801|Artificial Intelligence and Image Processing||||
42547|Australian Symposium on Information Visualisation|ASIV|B|0801|Artificial Intelligence and Image Processing||||
42565|Bioinformatics Visualization|BioViz|C|0801|Artificial Intelligence and Image Processing||||
42570|Brazilian Symposium on Computer Graphics and Image Processing|SIBGRAPI|C|0801|Artificial Intelligence and Image Processing||||
42577|British Machine Vision Conference|BMVC|B|0801|Artificial Intelligence and Image Processing||||
42581|Canadian Artificial Intelligence Conference|CAAI|B|0801|Artificial Intelligence and Image Processing||||
42583|Canadian Conference on Computer and Robot Vision|CRV|C|0801|Artificial Intelligence and Image Processing||||
42596|Cognitive Science Society Annual Conference|CSSAC|A|0801|Artificial Intelligence and Image Processing||||
42603|Complex Objects Visualization Workshop|COV|C|0801|Artificial Intelligence and Image Processing||||
42612|Computer Animation|CANIM|A|0801|Artificial Intelligence and Image Processing||||
42613|Computer Animation, Information Visualisation, and Digital Effects|CAivDE|C|0801|Artificial Intelligence and Image Processing||||
42614|Computer Graphics International|CGI|B|0801|Artificial Intelligence and Image Processing||||
42630|Conference in Uncertainty in Artificial Intelligence|UAI|A|0801|Artificial Intelligence and Image Processing||||
42632|Conference of the Association for Machine Translation in the Americas|AMTA|B|0801|Artificial Intelligence and Image Processing||||
42634|Conference of the European Association for Machine Translation|EAMT|B|0801|Artificial Intelligence and Image Processing||||
44985|Conference of the International Society for Decision Support Systems|ISDSS|C|0801|Artificial Intelligence and Image Processing||||
42635|Conference of the Pacific Association for Computational Linguistics|PACLING|B|0801|Artificial Intelligence and Image Processing||||
42640|Conference on Artificial Intelligence for Applications|CAIA|B|0801|Artificial Intelligence and Image Processing||||
42641|Conference on Artificial Neural Networks and Expert systems|ANNES|C|0801|Artificial Intelligence and Image Processing||||
42652|Conference on Natural Language Learning|CoNLL|A|0801|Artificial Intelligence and Image Processing||||
42665|Conference on Visualization and Data Analysis|VDA|C|0801|Artificial Intelligence and Image Processing||||
42666|Congress of the Italian Assoc for AI|AI*IA|B|0801|Artificial Intelligence and Image Processing||||
42680|Cooperative Design, Visualization, and Engineering|CDVE|C|0801|Artificial Intelligence and Image Processing||||
42682|Coordinated and Multiple Views in Exploratory Visualization|CMV|C|0801|Artificial Intelligence and Image Processing||||
42688|Cultural Heritage Knowledge Visualisation|CHKV|C|0801|Artificial Intelligence and Image Processing||||
42697|Design and Aesthetics in Visualisation|DAViz|C|0801|Artificial Intelligence and Image Processing||||
42712|Deutsche Arbeitsgemeinschaft für Mustererkennung DAGM e.V|DAGM|B|0801|Artificial Intelligence and Image Processing||||
42717|Digital Image Computing Techniques and Applications|DICTA|B|0801|Artificial Intelligence and Image Processing||||
42719|Discourse Anaphora and Anaphor Resolution Colloquium|DAARC|C|0801|Artificial Intelligence and Image Processing||||
42739|Empirical Methods in Natural Language Processing|EMNLP|A|0801|Artificial Intelligence and Image Processing||||
42744|ENVI and IDL Data Analysis and Visualization Symposium|VISualize|C|0801|Artificial Intelligence and Image Processing||||
42751|Euro Virtual Reality|Euro VR|C|0801|Artificial Intelligence and Image Processing||||
42753|Eurographics Symposium on Parallel Graphics and Visualization|EGPGV|B|0801|Artificial Intelligence and Image Processing||||
42755|Eurographics/IEEE Symposium on Visualization|EuroVis|B|0801|Artificial Intelligence and Image Processing||||
42764|European Association of Computational Linguistics|EACL|A|0801|Artificial Intelligence and Image Processing||||
42768|European Conference on Ambient Intelligence|AmI|C|0801|Artificial Intelligence and Image Processing||||
42769|European Conference on Artificial Intelligence|ECAI|A|0801|Artificial Intelligence and Image Processing||||
42793|European Conference on Artificial Life|ECAL|B|0801|Artificial Intelligence and Image Processing||||
42770|European Conference on Computational Learning Theory (Now in COLT)|EuroCOLT|C|0801|Artificial Intelligence and Image Processing||||
42772|European Conference on Computer Vision|ECCV|A|0801|Artificial Intelligence and Image Processing||||
42775|European Conference on Genetic Programming|EUROGP|B|0801|Artificial Intelligence and Image Processing||||
42780|European Conference on Machine Learning|ECML|A|0801|Artificial Intelligence and Image Processing||||
42789|European Conference on Speech Communication and Technology (now Interspeech)|EuroSpeech|A|0801|Artificial Intelligence and Image Processing||||
42790|European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty|ECSQARU|C|0801|Artificial Intelligence and Image Processing||||
42794|European Congress on Intelligent Techniques and Soft Computing|EUFIT|C|0801|Artificial Intelligence and Image Processing||||
42796|European Graphics Conference|EUROGRAPH|A|0801|Artificial Intelligence and Image Processing||||
44989|European Simulation Symposium|ESS|B|0801|Artificial Intelligence and Image Processing||||
42808|European Symposium on Artificial Neural Networks|ESANN|B|0801|Artificial Intelligence and Image Processing||||
42816|European Workshop on Modelling Autonomous Agents in a Multi-Agent World|MAAMAW|C|0801|Artificial Intelligence and Image Processing||||
42817|European Workshop on Multi-Agent Systems|EUMAS|C|0801|Artificial Intelligence and Image Processing||||
44990|Finite Differences-Finite Elements-Finite Volumes-Boundary Elements|F-and-B|C|0801|Artificial Intelligence and Image Processing||||
42832|Flexible Query-Answering Systems|FQAS|C|0801|Artificial Intelligence and Image Processing||||
42833|Florida Artificial Intelligence Research Society Conference|FlAIRS|C|0801|Artificial Intelligence and Image Processing||||
42841|Foundations of Genetic Algorithms|FOGA|A|0801|Artificial Intelligence and Image Processing||||
42845|French Conference on Knowledge Acquisition and Machine Learning|FCKAML|B|0801|Artificial Intelligence and Image Processing||||
42847|French Speaking Conference on the Extraction and Management of Knowledge|EGC|C|0801|Artificial Intelligence and Image Processing||||
42856|GeoVisualization and Information Visualization|GeoViz|C|0801|Artificial Intelligence and Image Processing||||
42857|German Conference on Artificial Intelligence|KI|C|0801|Artificial Intelligence and Image Processing||||
42858|German Conference on Multi-Agent system Technologies|MATES|B|0801|Artificial Intelligence and Image Processing||||
42867|Graphics Interface|GI|B|0801|Artificial Intelligence and Image Processing||||
42871|Hellenic Conference on Artificial Intelligence|SETN|C|0801|Artificial Intelligence and Image Processing||||
42879|Hungarian National Conference on Agent Based Computation|HUNABC|C|0801|Artificial Intelligence and Image Processing||||
42886|Iberian Conference on Pattern Recognition and Image Analysis|IBPRIA|C|0801|Artificial Intelligence and Image Processing||||
42887|IberoAmerican Congress on Pattern Recognition|CIARP|C|0801|Artificial Intelligence and Image Processing||||
42890|IEEE Automatic Speech Recognition and Understanding Workshop|ASRU|C|0801|Artificial Intelligence and Image Processing||||
42897|IEEE Conference on Computer Vision and Pattern Recognition|CVPR|A|0801|Artificial Intelligence and Image Processing||||
42908|IEEE Congress on Evolutionary Computation|IEEE CEC|A|0801|Artificial Intelligence and Image Processing||||
42917|IEEE Information Visualization Conference|IEEE InfoVis|A|0801|Artificial Intelligence and Image Processing||||
42922|IEEE International Conference on Adaptive and Intelligent Systems|ICAIS|C|0801|Artificial Intelligence and Image Processing||||
42975|IEEE International Conference on Automatic Face and Gesture Recognition|FG|C|0801|Artificial Intelligence and Image Processing||||
42927|IEEE International Conference on Cognitive Informatics|ICCI|C|0801|Artificial Intelligence and Image Processing||||
42929|IEEE International Conference on Computational Cybernetics|ICCC|C|0801|Artificial Intelligence and Image Processing||||
42930|IEEE International Conference on Computational Intelligence for Measurement Systems and Applications|CIMSA|C|0801|Artificial Intelligence and Image Processing||||
42932|IEEE International Conference on Computer Vision|ICCV|A|0801|Artificial Intelligence and Image Processing||||
42935|IEEE International Conference on Cybernetics and Intelligent Systems|CIS|C|0801|Artificial Intelligence and Image Processing||||
42942|IEEE International Conference on Fuzzy Systems|FUZZ-IEEE|A|0801|Artificial Intelligence and Image Processing||||
42944|IEEE International Conference on Granular Computing|GrC|C|0801|Artificial Intelligence and Image Processing||||
42947|IEEE International Conference on Image Processing|ICIP|B|0801|Artificial Intelligence and Image Processing||||
42950|IEEE International Conference on Information and Automation|IEEE ICIA|C|0801|Artificial Intelligence and Image Processing||||
42952|IEEE International Conference on Intelligence for Homeland Security and Personal Safety|CIHSPS|C|0801|Artificial Intelligence and Image Processing||||
42953|IEEE International Conference on Intelligent Computer Communication and Processing|ICCP|C|0801|Artificial Intelligence and Image Processing||||
42954|IEEE International Conference on Intelligent Systems|IEEE IS|C|0801|Artificial Intelligence and Image Processing||||
42957|IEEE International Conference on Multimedia and Expo|ICME|B|0801|Artificial Intelligence and Image Processing||||
42959|IEEE International Conference on Neural Networks|ICNN|B|0801|Artificial Intelligence and Image Processing||||
45008|IEEE International Geoscience and Remote Sensing Symposium|IGARSS|C|0801|Artificial Intelligence and Image Processing||||
42979|IEEE International Joint Conference on Neural Networks|IJCNN|A|0801|Artificial Intelligence and Image Processing||||
42989|IEEE International Symposium on Artificial Life|IEEE Alife|A|0801|Artificial Intelligence and Image Processing||||
42998|IEEE International Symposium on Multimedia|ISM|C|0801|Artificial Intelligence and Image Processing||||
43009|IEEE International Workshop on Cellular Nanoscale Networks and Applications|CNNA|C|0801|Artificial Intelligence and Image Processing||||
43013|IEEE International Workshop on Neural Networks for Signal Processing|NNSP|C|0801|Artificial Intelligence and Image Processing||||
43018|IEEE International Workshop on Visualizing Software for Understanding and Analysis|VISSOFT|B|0801|Artificial Intelligence and Image Processing||||
43023|IEEE Pacific Visualization Symposium (was APVIS)|PacificVis|B|0801|Artificial Intelligence and Image Processing||||
43027|IEEE Swarm Intelligence Symposium|IEEE SIS|C|0801|Artificial Intelligence and Image Processing||||
43029|IEEE Symposium on 3D User Interfaces|3DUI|B|0801|Artificial Intelligence and Image Processing||||
43032|IEEE Symposium on Computational Intelligence and Data Mining|IEEE CIDM|C|0801|Artificial Intelligence and Image Processing|0804|Data Format||
43033|IEEE Symposium on Computational Intelligence and Games|CIG|C|0801|Artificial Intelligence and Image Processing||||
43034|IEEE Symposium on Computational Intelligence for Financial Engineering|IEEE CIFEr|C|0801|Artificial Intelligence and Image Processing||||
43035|IEEE Symposium on Computational intelligence for Image Processing|IEEE CIIP|C|0801|Artificial Intelligence and Image Processing||||
43036|IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing|IEEE CIMSVP|C|0801|Artificial Intelligence and Image Processing||||
43028|IEEE Symposium on Computational Intelligence for Security and Defence Applications|IEEE CISDA|C|0801|Artificial Intelligence and Image Processing||||
43038|IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology|IEEE CIBCB|C|0801|Artificial Intelligence and Image Processing||||
43039|IEEE Symposium on Computational Intelligence in Control and Automation|IEEE CICA|C|0801|Artificial Intelligence and Image Processing||||
43040|IEEE Symposium on Computational Intelligence in Cyber Security|IEEE CICS|C|0801|Artificial Intelligence and Image Processing|0805|Distributed Computing||
43041|IEEE Symposium on Computational Intelligence in Image and Signal Processing|CIISP|C|0801|Artificial Intelligence and Image Processing||||
43042|IEEE Symposium on Computational Intelligence in Multi-Criteria Decision-Making|IEEE MCDM|C|0801|Artificial Intelligence and Image Processing||||
43043|IEEE Symposium on Computational Intelligence in Scheduling|IEEE CI-Sched|C|0801|Artificial Intelligence and Image Processing||||
43048|IEEE Symposium on Intelligent Agents|IEEE IA|C|0801|Artificial Intelligence and Image Processing||||
43059|IEEE Virtual Reality Conference|VR|B|0801|Artificial Intelligence and Image Processing||||
43060|IEEE Visualization|IEEE VIS|A|0801|Artificial Intelligence and Image Processing||||
43064|IEEE Workshop on Applications of Computer Vision|WACV|A|0801|Artificial Intelligence and Image Processing||||
43065|IEEE Workshop on Computational Intelligence for Visual Intelligence|IEEE CIVI|C|0801|Artificial Intelligence and Image Processing||||
43066|IEEE Workshop on Computational Intelligence in Aerospace Applications|IEEE CIAA|C|0801|Artificial Intelligence and Image Processing||||
43067|IEEE Workshop on Computational Intelligence in Biometrics: Theory, Algorithms, and Applications|IEEE CIB|C|0801|Artificial Intelligence and Image Processing||||
43068|IEEE Workshop on Computational Intelligence in Vehicles and Vehicular Systems|IEEE CIWS|C|0801|Artificial Intelligence and Image Processing||||
43069|IEEE Workshop on Computational Intelligence in Virtual Environments|IEEE CIVE|C|0801|Artificial Intelligence and Image Processing||||
43070|IEEE Workshop on Evolvable and Adaptive Hardware|IEEE WEAH|C|0801|Artificial Intelligence and Image Processing||||
43071|IEEE Workshop on Evolving and Self-Developing Intelligent Systems|IEEE ESDIS|C|0801|Artificial Intelligence and Image Processing||||
43074|IEEE Workshop on Hybrid Intelligent Models and Applications|IEEE HIMA|C|0801|Artificial Intelligence and Image Processing||||
43075|IEEE Workshop on Memetic Algorithms|IEEE WOMA|C|0801|Artificial Intelligence and Image Processing||||
43077|IEEE Workshop on Organic Computing|IEEE OC|C|0801|Artificial Intelligence and Image Processing||||
43078|IEEE Workshop on Robotic Intelligence in Informationally Structured Space|IEEE RiiSS|C|0801|Artificial Intelligence and Image Processing||||
43079|IEEE Workshop on Speech Coding|SCW|C|0801|Artificial Intelligence and Image Processing||||
43084|IEEE/ACM International Conference on Computer-Aided Design|ICCAD|A|0801|Artificial Intelligence and Image Processing||||
43086|IEEE/ACM International Symposium on Mixed and Augmented Reality|ISMAR|A|0801|Artificial Intelligence and Image Processing||||
43093|IEEE/WIC/ACM International Conference on Intelligent Agent Technology|IAT|C|0801|Artificial Intelligence and Image Processing||||
43094|IEEE/WIC/ACM international Conference on Web Intelligence and Intelligent Agent Technology|WI-IAT|C|0801|Artificial Intelligence and Image Processing||||
43100|IFIP Conference on Biologically Inspired Collaborative Computing|BICC|C|0801|Artificial Intelligence and Image Processing||||
43116|IFSA World Congress|IFSA|B|0801|Artificial Intelligence and Image Processing||||
43120|Image and Vision Computing Conference|IVCNZ|B|0801|Artificial Intelligence and Image Processing||||
43140|Information Visualisation Theory and Practice|InfVis|C|0801|Artificial Intelligence and Image Processing||||
43141|Information Visualization Evaluation|IVE|C|0801|Artificial Intelligence and Image Processing||||
43142|Information Visualization in Biomedical Informatics|IVBI|C|0801|Artificial Intelligence and Image Processing||||
43146|Innovative Applications in AI|IAAI|B|0801|Artificial Intelligence and Image Processing||||
43154|Integration of Software Engineering and Agent Technology|ISEAT|B|0801|Artificial Intelligence and Image Processing|0803|Computer Software||
43155|Intelligence Tools, Data Mining, Visualization|IDV|C|0801|Artificial Intelligence and Image Processing||||
45037|Intelligent Multimedia, Video and Speech Processing Symposium|MVSP|C|0801|Artificial Intelligence and Image Processing||||
43158|Intelligent Virtual Agents|IVA|B|0801|Artificial Intelligence and Image Processing||||
43171|International Atlantic Web Intelligence Conference|AWIC|C|0801|Artificial Intelligence and Image Processing||||
43175|International Cognitive Robotics Conference|COGROBO|B|0801|Artificial Intelligence and Image Processing||||
43177|International Colloquium on Data Sciences, Knowledge Discovery and Business Intelligence|DSKDB|C|0801|Artificial Intelligence and Image Processing||||
43188|International Conference Computer Graphics, Imaging and Visualization|CGIV|C|0801|Artificial Intelligence and Image Processing||||
43190|International Conference Formal Concept Analysis Conference|ICFCA|C|0801|Artificial Intelligence and Image Processing||||
43191|International Conference Imaging Science, Systems and Technology|CISST|C|0801|Artificial Intelligence and Image Processing||||
43199|International Conference on 3G Mobile Communication Technologies|3G|C|0801|Artificial Intelligence and Image Processing||||
43200|International Conference on Adaptive and Natural Computing Algorithms|ICANNGA|C|0801|Artificial Intelligence and Image Processing||||
43213|International Conference on Advances in Intelligent Systems: Theory and Applications|AISTA|B|0801|Artificial Intelligence and Image Processing|0806|Information Systems||
43216|International Conference on Advances in Pattern Recognition and Digital Techniques|ICAPRDT|C|0801|Artificial Intelligence and Image Processing||||
43217|International Conference on Affective Computing and Intelligent|ACII|C|0801|Artificial Intelligence and Image Processing||||
43218|International Conference on Agents and Artificial Intelligence|ICAART|C|0801|Artificial Intelligence and Image Processing||||
43225|International Conference on Artificial Intelligence|IC-AI|C|0801|Artificial Intelligence and Image Processing||||
43226|International Conference on Artificial Intelligence and Law|ICAIL|C|0801|Artificial Intelligence and Image Processing||||
43227|International Conference on Artificial Intelligence and Pattern Recognition|AIPR|C|0801|Artificial Intelligence and Image Processing||||
43228|International Conference on Artificial Intelligence and Soft Computing|ICAISC|C|0801|Artificial Intelligence and Image Processing||||
43229|International Conference on Artificial Intelligence and Statistics|AISTATS|B|0801|Artificial Intelligence and Image Processing||||
43230|International Conference on Artificial Intelligence in Science and Technology|AISAT|C|0801|Artificial Intelligence and Image Processing||||
43231|International Conference on Artificial Neural Networks|ICANN|B|0801|Artificial Intelligence and Image Processing||||
43232|International Conference on Artificial Reality and Telexistence|ICAT|B|0801|Artificial Intelligence and Image Processing||||
43233|International Conference on Arts and Technology|ArtsIT|C|0801|Artificial Intelligence and Image Processing|0806|Information Systems||
43234|International Conference on Automated Deduction|CADE|A|0801|Artificial Intelligence and Image Processing||||
43238|International Conference on Autonomous Agents and Multiagent Systems|AAMAS|A|0801|Artificial Intelligence and Image Processing||||
43245|International Conference on Case-Based Reasoning Research and Development|ICCBR|C|0801|Artificial Intelligence and Image Processing||||
43259|International Conference on Computational Collective Intelligence: Semantic Web, Social Networks and Multiagent Systems|ICCCI|C|0801|Artificial Intelligence and Image Processing||||
43261|International Conference on Computational Intelligence and Multimedia|ICCIMA|C|0801|Artificial Intelligence and Image Processing||||
44109|International Conference on Computational Intelligence and Software Engineering|CISE|C|0801|Artificial Intelligence and Image Processing|0804|Data Format|0803|Computer Software
43263|International Conference on Computational Intelligence for Modelling, Control and Automation|CIMCA|C|0801|Artificial Intelligence and Image Processing||||
43264|International Conference on Computational Intelligence, Robotics and Autonomous Systems|CIRAS|C|0801|Artificial Intelligence and Image Processing||||
43265|International Conference on Computational Linguistics|COLING|A|0801|Artificial Intelligence and Image Processing||||
43270|International Conference on Computational Semiotics for Games and New Media|Cosign|C|0801|Artificial Intelligence and Image Processing||||
43271|International Conference on Computer Analysis of Images and Patterns|CAIP|B|0801|Artificial Intelligence and Image Processing||||
43274|International Conference on Computer Graphics and Interactive Techniques in Australasia and Southeast Asia|SIGGRAPH ASIA|B|0801|Artificial Intelligence and Image Processing||||
43275|International Conference on Computer Graphics Theory and Application|GRAPP|A|0801|Artificial Intelligence and Image Processing||||
43277|International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa|AFRIGRAPH|C|0801|Artificial Intelligence and Image Processing||||
43281|International Conference on Computer Theory and Applications|ICCTA|C|0801|Artificial Intelligence and Image Processing||||
43282|International Conference on Computer Vision Systems|ICVS|C|0801|Artificial Intelligence and Image Processing||||
43305|International Conference on Cybercrime Forensics Education and Training|CFET|C|0801|Artificial Intelligence and Image Processing|0803|Computer Software||
43308|International Conference on Database and Expert Systems Applications|DEXA|B|0801|Artificial Intelligence and Image Processing|0804|Data Format|0806|Information Systems
43334|International Conference on Engineering Applications of Neural Networks|EANN|C|0801|Artificial Intelligence and Image Processing||||
43346|International Conference on Evolutionary Computation|ICEC|C|0801|Artificial Intelligence and Image Processing||||
43359|International Conference on Frontiers of Handwriting Recognition|ICFHR|B|0801|Artificial Intelligence and Image Processing||||
43362|International Conference on Fuzzy Systems and Knowledge|FSKD|C|0801|Artificial Intelligence and Image Processing||||
43364|International Conference on Genetic Algorithms|ICGA|B|0801|Artificial Intelligence and Image Processing||||
43379|International Conference on Hybrid Artificial Intelligence Systems|HAIS|C|0801|Artificial Intelligence and Image Processing||||
43380|International Conference on Hybrid Intelligent Systems|HIS|C|0801|Artificial Intelligence and Image Processing||||
43382|International Conference on Image Analysis and Processing|ICIAP|B|0801|Artificial Intelligence and Image Processing||||
43383|International Conference on Image and Graphics|ICIG|C|0801|Artificial Intelligence and Image Processing||||
43384|International Conference on Image and Signal Processing|ICISP|C|0801|Artificial Intelligence and Image Processing||||
43385|International Conference on Immersive Telecommunications|IMMERSCOM|C|0801|Artificial Intelligence and Image Processing||||
43386|International Conference on Implementation and Application of Automata|CIAA|B|0801|Artificial Intelligence and Image Processing||||
43388|International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems|IEA/AIE|C|0801|Artificial Intelligence and Image Processing||||
43395|International Conference on Information and Knowledge Engineering|IKE|C|0801|Artificial Intelligence and Image Processing||||
43411|International Conference on Information Visualisation|IV|B|0801|Artificial Intelligence and Image Processing|1203|Design Practice and Management||
43414|International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems|CPAIOR|B|0801|Artificial Intelligence and Image Processing||||
